cn_name,alias,rating,comment_number,director,year,area,types
肖申克的救赎,The Shawshank Redemption,9.6,1010557,导演: 弗兰克·德拉邦特 Frank Darabont   ,1994, 美国 , 犯罪 剧情
霸王别姬,再见，我的妾  /  Farewell My Concubine,9.5,734877,导演: 陈凯歌 Kaige Chen   ,1993, 中国大陆 香港 , 剧情 爱情 同性
这个杀手不太冷,Léon,9.4,949127,导演: 吕克·贝松 Luc Besson   ,1994, 法国 , 剧情 动作 犯罪
阿甘正传,Forrest Gump,9.4,807123,导演: Robert Zemeckis   ,1994, 美国 , 剧情 爱情
美丽人生,La vita è bella,9.5,471331,导演: 罗伯托·贝尼尼 Roberto Benigni   ,1997, 意大利 , 剧情 喜剧 爱情 战争
千与千寻,千と千尋の神隠し,9.2,755401,导演: 宫崎骏 Hayao Miyazaki   ,2001, 日本 , 剧情 动画 奇幻
泰坦尼克号,Titanic,9.2,746773,导演: 詹姆斯·卡梅隆 James Cameron   ,1997, 美国 , 剧情 爱情 灾难
辛德勒的名单,Schindler's List,9.4,429297,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   ,1993, 美国 , 剧情 历史 战争
盗梦空间,Inception,9.3,847164,导演: 克里斯托弗·诺兰 Christopher Nolan   ,2010, 美国 英国 , 剧情 科幻 悬疑 冒险
机器人总动员,WALL·E,9.3,555558,导演: 安德鲁·斯坦顿 Andrew Stanton   ,2008, 美国 , 爱情 科幻 动画 冒险
海上钢琴师,La leggenda del pianista sull'oceano,9.2,653459,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   ,1998, 意大利 , 剧情 音乐
三傻大闹宝莱坞,3 Idiots,9.2,761016,导演: 拉库马·希拉尼 Rajkumar Hirani   ,2009, 印度 , 剧情 喜剧 爱情 歌舞
忠犬八公的故事,Hachi: A Dog's Tale,9.2,524205,导演: 莱塞·霍尔斯道姆 Lasse Hallström   ,2009, 美国 英国 , 剧情
放牛班的春天,Les choristes,9.2,508663,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   ,2004, 法国 瑞士 德国 , 剧情 音乐
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,9.2,556018,导演: 刘镇伟 Jeffrey Lau   ,1995, 香港 中国大陆 , 喜剧 爱情 奇幻 冒险
楚门的世界,The Truman Show,9.1,526991,导演: 彼得·威尔 Peter Weir   ,1998, 美国 , 剧情 科幻
龙猫,となりのトトロ,9.1,469455,导演: 宫崎骏 Hayao Miyazaki   ,1988, 日本 , 儿童 动画 奇幻 家庭
教父,The Godfather,9.2,382163,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   ,1972, 美国 , 剧情 犯罪
熔炉,도가니,9.2,305740,导演: 黄东赫 Dong-hyuk Hwang   ,2011, 韩国 , 剧情
星际穿越,Interstellar,9.2,555054,导演: 克里斯托弗·诺兰 Christopher Nolan   ,2014, 美国 英国 加拿大 冰岛 , 剧情 科幻 冒险
乱世佳人,Gone with the Wind,9.2,297388,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   ,1939, 美国 , 剧情 历史 爱情 战争
